1684229230226|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists filtering CASCADE |     drop table if exists filtering CASCADE 
1684229230242|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists filter_mapping CASCADE |     drop table if exists filter_mapping CASCADE 
1684229230242|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists portfolio CASCADE |     drop table if exists portfolio CASCADE 
1684229230242|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists tag CASCADE |     drop table if exists tag CASCADE 
1684229230242|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists tag_mapping CASCADE |     drop table if exists tag_mapping CASCADE 
1684229230242|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1684229230242|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists work_category CASCADE |     drop table if exists work_category CASCADE 
1684229230242|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop sequence if exists hibernate_sequence|     drop sequence if exists hibernate_sequence
1684229230242|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|create sequence hibernate_sequence start with 1 increment by 1|create sequence hibernate_sequence start with 1 increment by 1
1684229230257|5|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table filtering (        keyword_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         keyword varchar(255),         primary key (keyword_id)     )|     create table filtering (        keyword_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         keyword varchar(255),         primary key (keyword_id)     )
1684229230257|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table filter_mapping (        filter_mapping_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         filtering_keyword_id bigint,         users_user_id bigint,         primary key (filter_mapping_id)     )|     create table filter_mapping (        filter_mapping_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         filtering_keyword_id bigint,         users_user_id bigint,         primary key (filter_mapping_id)     )
1684229230257|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table portfolio (        portfolio_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         content varchar(255),         cover_image_url varchar(255),         title varchar(255),         user_id bigint,         primary key (portfolio_id)     )|     create table portfolio (        portfolio_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         content varchar(255),         cover_image_url varchar(255),         title varchar(255),         user_id bigint,         primary key (portfolio_id)     )
1684229230257|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table tag (        tag_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         hash_tag varchar(255),         primary key (tag_id)     )|     create table tag (        tag_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         hash_tag varchar(255),         primary key (tag_id)     )
1684229230257|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table tag_mapping (        tag_mapping_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         portfolio_id bigint,         tag_id bigint,         primary key (tag_mapping_id)     )|     create table tag_mapping (        tag_mapping_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         portfolio_id bigint,         tag_id bigint,         primary key (tag_mapping_id)     )
1684229230257|2|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table users (        user_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         belong varchar(255),         cover_image_url varchar(255),         job varchar(255),         login_id varchar(255),         password varchar(255),         profile_image_url varchar(255),         user_name varchar(255),         primary key (user_id)     )|     create table users (        user_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         belong varchar(255),         cover_image_url varchar(255),         job varchar(255),         login_id varchar(255),         password varchar(255),         profile_image_url varchar(255),         user_name varchar(255),         primary key (user_id)     )
1684229230257|1|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table work_category (        work_category_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         category varchar(255),         portfolio_id bigint,         primary key (work_category_id)     )|     create table work_category (        work_category_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         category varchar(255),         portfolio_id bigint,         primary key (work_category_id)     )
1684229230273|4|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     alter table filter_mapping         add constraint FKkheao3thtxadpgblw7shber1b         foreign key (filtering_keyword_id)         references filtering|     alter table filter_mapping         add constraint FKkheao3thtxadpgblw7shber1b         foreign key (filtering_keyword_id)         references filtering
1684229230273|3|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     alter table filter_mapping         add constraint FK3pyxs00ybtyiau4wsp74a9ugd         foreign key (users_user_id)         references users|     alter table filter_mapping         add constraint FK3pyxs00ybtyiau4wsp74a9ugd         foreign key (users_user_id)         references users
1684229230273|3|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     alter table portfolio         add constraint FK76ws6sj6wg26k7lcx6a5mtqi4         foreign key (user_id)         references users|     alter table portfolio         add constraint FK76ws6sj6wg26k7lcx6a5mtqi4         foreign key (user_id)         references users
1684229230273|2|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     alter table tag_mapping         add constraint FKdinu5v2j7h26gk8yf5gbvcak6         foreign key (portfolio_id)         references portfolio|     alter table tag_mapping         add constraint FKdinu5v2j7h26gk8yf5gbvcak6         foreign key (portfolio_id)         references portfolio
1684229230289|2|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     alter table tag_mapping         add constraint FKr7vepjpj3ljbkhphcm0r74oc9         foreign key (tag_id)         references tag|     alter table tag_mapping         add constraint FKr7vepjpj3ljbkhphcm0r74oc9         foreign key (tag_id)         references tag
1684229230289|3|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     alter table work_category         add constraint FKr0mvh5sd1wfue89sx5k08bao8         foreign key (portfolio_id)         references portfolio|     alter table work_category         add constraint FKr0mvh5sd1wfue89sx5k08bao8         foreign key (portfolio_id)         references portfolio
1684238922388|2|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists filtering CASCADE |     drop table if exists filtering CASCADE 
1684238922388|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists filter_mapping CASCADE |     drop table if exists filter_mapping CASCADE 
1684238922388|1|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists portfolio CASCADE |     drop table if exists portfolio CASCADE 
1684238922404|2|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists tag CASCADE |     drop table if exists tag CASCADE 
1684238922404|0|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists tag_mapping CASCADE |     drop table if exists tag_mapping CASCADE 
1684238922404|0|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1684238922404|0|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists work_category CASCADE |     drop table if exists work_category CASCADE 
1684238922404|0|statement|connection 3|url jdbc:h2:tcp://localhost/~/vwx|     drop sequence if exists hibernate_sequence|     drop sequence if exists hibernate_sequence
1684238939270|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists filtering CASCADE |     drop table if exists filtering CASCADE 
1684238939271|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists filter_mapping CASCADE |     drop table if exists filter_mapping CASCADE 
1684238939272|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists portfolio CASCADE |     drop table if exists portfolio CASCADE 
1684238939273|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists tag CASCADE |     drop table if exists tag CASCADE 
1684238939274|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists tag_mapping CASCADE |     drop table if exists tag_mapping CASCADE 
1684238939275|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists users CASCADE |     drop table if exists users CASCADE 
1684238939275|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists work_category CASCADE |     drop table if exists work_category CASCADE 
1684238939276|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop table if exists work_mapping CASCADE |     drop table if exists work_mapping CASCADE 
1684238939277|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/vwx|     drop sequence if exists hibernate_sequence|     drop sequence if exists hibernate_sequence
1684238939280|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|create sequence hibernate_sequence start with 1 increment by 1|create sequence hibernate_sequence start with 1 increment by 1
1684238939281|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/vwx|     create table filtering (        keyword_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         keyword varchar(255),         primary key (keyword_id)     )|     create table filtering (        keyword_id bigint not null,         created_date timestamp,         last_modified_time timestamp,         keyword varchar(255),         primary key (keyword_id)     )
